,minimum,maximum
R00410__mito,-1000.0,1000.0
R00769__cytop,-1000.0,1000.0
R03443__cytop,-1000.0,999.9999999999998
R12624__extr,-1000.0,1000.0
R00801__extr,-1000.0,1000.0
R02144__cytop,-1000.0,1000.0
R08557__cytop,-1000.0,1000.0
R12987__cytop,-1000.0,1000.0
TZ2900064_plasmem__plasmem,-499.99999999999994,499.99999999999994
R00269__cytop,-1000.0,1000.0000000000001
R01975__mito,-1000.0,1000.0
R00704__cytop,-1000.0,1000.0
TR2900079_mitmem__mitmem,-1000.0,1000.0
TR0000532_plasmem__plasmem,-1000.0,1000.0
R02649__cytop,-1000.0,1000.0000000000219
R01787__cytop,-1000.0,1000.0
TR0003396_plasmem__plasmem,-1000.0,1000.0
R10800__cytop,-1000.0,1000.0
R02410__extr,-1000.0,1000.0
R07178__cytop,-1000.0,1000.0
R01666__cytop,-1000.0,999.9999999999999
TZ2900036_plasmem__plasmem,-500.0,1000.0
R04779__cytop,-1000.0,1000.0
R00243__cytop,-1000.0,1000.0
R02867__chlo,-1000.0,1000.0
R01900__mito,-1000.0,1000.0
R00078__chlo,-249.99999999999997,250.00000000000006
TR2900000_mitmem__mitmem,-1000.0,1000.0
R00299__chlo,-1000.0,1000.0
R08575__cytop,-1000.0,1000.0
R05552__chlo,-1000.0,1000.0
R11385__extr,-1000.0,1000.0
R12119__er,-1000.0,1000.0000000000001
R08648__chlo,-1000.0000000000002,1000.0
R11383__extr,-1000.0,1000.0
R06983__cytop,-1000.0,1000.0
R01465__cytop,-1000.0,1000.0
R03321__cytop,-1000.0,1000.0
R02868__cytop,-1000.0,1000.0
R12623__cytop,-1000.0,1000.0
R01476__cytop,-1000.0,1000.0
R02566__cytop,-1000.0000000000006,1000.0
R00760__cytop,-1000.0,1000.0
R00243__chlo,-1000.0,1000.0
R01600__cytop,-1000.0,1000.0
R02410__cytop,-1000.0,1000.0
R00878__cytop,-1000.0,1000.0
R02549__mito,-1000.0,1000.0
R02565__er,-1000.0,1000.0
R01330__chlo,-1000.0,1000.0
R12120__cytop,-999.9999999999999,1000.0
R11101__chlo,-1000.0,1000.0
R10949__chlo,-999.9999999999999,999.9999999999998
TZ2900051_plasmem__plasmem,-499.9999999999999,500.0000000000001
R00372__pero,-1000.0,1000.0
R00771__cytop,-1000.0,1000.0
R02849__chlo,-1000.0,1000.0
R03428__cytop,-1000.0,1000.0
R11895__cytop,-1000.0,1000.0
R10801__cytop,-1000.0,1000.0000000000492
R03968__extr,-1000.0,999.9999999999999
R01819__cytop,-1000.0,1000.0
R01051__cytop,-1000.0,1000.0
TR2900015_mitmem__mitmem,-1000.0,1000.0
R02090__cytop,-1000.0,1000.0
TR0000012_ermem__ermem,-1000.0,1000.0000000000025
R01139__chlo,-1000.0,1000.0
R00588__pero,-1000.0,1000.0
